gene	UMI
B3GALNT2	377
B3GALT1	1
B3GALT2	1
B3GALT4	32
B3GALT5	5
B3GALT6	625
B3GALTL	172
B3GAT3	2427
B3GNT1	258
B3GNT2	322
B3GNT3	139
B3GNT4	25
B3GNT5	77
B3GNT7	17
B3GNT8	1
B3GNT9	47
B3GNTL1	357
B4GALNT1	350
B4GALNT2	1
B4GALNT4	123
B4GALT1	1303
B4GALT2	881
B4GALT3	758
B4GALT4	3173
B4GALT5	1952
B4GALT6	109
B4GALT7	1209
B7H6	37
B9D1	1827
B9D2	1055
BAAT	164
BABAM1	2323
BACE1	111
BACE1-AS	4
BACE2	548
BACH1	299
BACH2	1
BAD	5633
BAG1	4159
BAG2	1546
BAG3	1280
BAG4	501
BAG5	903
BAG6	1510
BAHCC1	122
BAHD1	71
BAI1	3
BAI2	91
BAIAP2	645
BAIAP2L1	2178
BAIAP2L2	156
BAIAP3	11
BAK1	404
BAMBI	791
BANF1	18159
BANK1	74
BANP	407
BAP1	429
BARD1	756
BARX1	69
BASP1	10369
BATF	2
BATF2	284
BATF3	742
BAX	7201
BAZ1A	2871
BAZ1B	3643
BAZ2A	895
BAZ2B	706
BBC3	1304
BBIP1	1362
BBS1	60
BBS10	72
BBS12	52
BBS2	233
BBS4	536
BBS5	40
BBS7	367
BBS9	52
BBX	2673
BCAM	414
BCAN	2
BCAP29	1282
BCAP31	11629
BCAR1	1127
BCAR3	501
BCAR4	1
BCAS1	93
BCAS2	1571
BCAS3	349
BCAS4	2618
BCAT1	755
BCAT2	3126
BCCIP	2540
BCDIN3D	208
BCHE	23
BCKDHA	1695
BCKDHB	127
BCKDK	2303
BCL10	290
BCL11B	24
BCL2	8
BCL2A1	306
BCL2L1	4567
BCL2L11	191
BCL2L12	3705
BCL2L13	590
BCL2L15	60
BCL2L2	119
BCL3	689
BCL6	160
BCL6B	1
BCL7A	311
BCL7B	1664
BCL7C	2646
BCL9	89
BCL9L	371
BCLAF1	3223
BCMO1	126
BCO2	9
BCOR	316
BCORL1	104
BCR	346
BCRP2	12
BCRP3	24
BCS1L	1495
BCYRN1	159
BDAG1	1
BDH1	72
BDH2	274
BDKRB1	23
BDKRB2	95
BDNF	893
BDNF-AS1	23
BDP1	2885
BEAN1	14
BECN1	1143
BEGAIN	13
BEND3	61
BEND4	1
BEND6	60
BEND7	111
BEST2	1
BEST3	16
BET1	1133
BET1L	517
BEX2	243
BEX4	17
BFAR	1183
BFSP1	281
BHLHB9	79
BHLHE40	1026
BHLHE41	13
BICC1	725
BICD1	329
BICD2	481
BID	3179
BIK	62
BIN1	2173
BIN2	10
BIN3	935
BIRC2	793
BIRC3	1608
BIRC5	8446
BIRC6	1636
BIRC7	45
BIVM	162
BK250D10.8	8
BLCAP	683
BLID	10
BLM	724
BLMH	1584
BLOC1S1	7358
BLOC1S2	2267
BLOC1S3	130
BLVRA	3150
BLVRB	29197
BLZF1	137
BMF	7
BMI1	5
BMP1	634
BMP2	3
BMP2K	103
BMP4	155
BMP5	2
BMP6	47
BMP7	10
BMP8A	4
BMP8B	35
BMPER	20
BMPR1A	239
BMPR1B	341
BMPR2	422
BMS1	2141
BMS1P1	33
BMS1P4	31
BMS1P5	38
BNC1	1
BNC2	88
BNIP1	738
BNIP2	1514
BNIP3	4464
BNIP3L	1295
BOC	19
BOD1	2028
BOD1L	796
BOK	403
BOK-AS1	2
BOLA1	1188
BOLA2	10
BOLA2B	23
BOLA3	6844
BOLA3-AS1	57
BOP1	7995
BORA	232
BPGM	612
BPHL	591
BPIFA2	4
BPIFB1	3
BPNT1	241
BPTF	2676
BRAF	67
BRAP	574
BRAT1	1282
BRCA1	1560
BRCA2	964
BRCC3	1225
BRD1	119
BRD2	1706
BRD3	1137
BRD4	2178
BRD7	2590
BRD7P3	1
BRD8	1065
BRD9	730
BRE	2304
BREA2	14
BRF1	520
BRF2	274
BRI3	3287
BRI3BP	1064
BRIP1	391
BRIX1	3333
BRK1	11518
BRMS1	5947
BRMS1L	372
BROX	359
BRP44	7716
BRP44L	312
BRPF1	355
BRPF3	84
BRSK1	27
BRSK2	58
BRWD1	841
BRWD3	272
BSCL2	7
BSDC1	131
BSG	14635
BSN	2
BST1	328
BST2	69
BTAF1	402
BTBD1	697
BTBD10	867
BTBD11	749
BTBD16	35
BTBD19	2
BTBD2	474
BTBD3	355
BTBD6	508
BTBD7	793
BTBD8	21
BTBD9	40
BTC	18
BTD	231
BTF3	38717
BTF3L4	1901
BTG1	4745
BTG2	154
BTG3	951
BTLA	1
BTN2A1	276
BTN2A2	110
BTN2A3P	28
BTN3A1	98
BTN3A2	167
BTN3A3	17
BTNL9	19
BTRC	245
BUB1	1460
BUB1B	609
BUB3	5822
BUD13	242
BUD31	11271
BVES	38
BYSL	2168
BZW1	9235
BZW2	2982
C10orf10	13
C10orf103	2
C10orf107	3
C10orf108	21
C10orf11	89
C10orf111	6
C10orf113	5
C10orf114	507
C10orf116	9
C10orf118	465
C10orf12	158
C10orf125	912
C10orf131	4
C10orf137	425
C10orf140	44
C10orf2	733
C10orf25	2
C10orf26	481
C10orf28	252
C10orf32	1473
C10orf35	881
C10orf46	1378
C10orf47	374
C10orf54	977
C10orf55	14
C10orf57	301
C10orf58	4414
C10orf62	2
C10orf67	2
C10orf68	12
C10orf76	182
C10orf81	1
C10orf88	265
C10orf90	4
C10orf91	26
C10orf93	12
C10orf95	33
C11orf1	1415
C11orf10	7704
C11orf2	1193
C11orf20	256
C11orf24	1447
C11orf30	156
C11orf31	7603
C11orf35	53
C11orf41	92
C11orf44	1
C11orf45	42
C11orf46	1080
C11orf48	9825
C11orf49	791
C11orf51	4303
C11orf54	243
C11orf57	449
C11orf58	8569
C11orf61	119
C11orf63	77
C11orf65	19
C11orf66	17
C11orf67	1143
C11orf68	558
C11orf70	240
C11orf71	161
C11orf73	2458
C11orf74	1144
C11orf75	699
C11orf80	460
C11orf82	514
C11orf83	11140
C11orf84	216
C11orf86	822
C11orf9	240
C11orf91	172
C11orf92	34
C11orf93	12
C11orf95	74
C11orf96	3
C12orf10	5530
C12orf11	943
C12orf23	818
C12orf24	1059
C12orf26	135
C12orf28	1
C12orf29	868
C12orf32	1825
C12orf34	59
C12orf35	587
C12orf36	5
C12orf37	1
C12orf39	24
C12orf4	275
C12orf41	441
C12orf42	1
C12orf43	1241
C12orf44	5063
C12orf45	3455
C12orf47	1331
C12orf48	1148
C12orf49	398
C12orf5	1109
C12orf50	1
C12orf51	266
C12orf52	1836
C12orf53	16
C12orf55	8
C12orf56	2
C12orf57	8727
C12orf59	1
C12orf60	75
C12orf61	16
C12orf62	6413
C12orf63	1
C12orf65	2114
C12orf66	142
C12orf68	114
C12orf70	11
C12orf73	936
C12orf75	8810
C12orf76	98
C13orf15	47
C13orf16	2
C13orf27	749
C13orf44-AS1	52
C14orf1	2938
C14orf101	144
C14orf102	267
C14orf105	123
C14orf109	906
C14orf118	188
C14orf119	3720
C14orf126	349
C14orf128	239
C14orf129	607
C14orf132	184
C14orf133	299
C14orf135	243
C14orf142	700
C14orf149	973
C14orf159	186
C14orf166	12687
C14orf167	377
C14orf169	395
C14orf176	17
C14orf178	1
C14orf182	84
C14orf183	1
C14orf19	1
C14orf2	23408
C14orf21	64
C14orf28	115
C14orf33	81
C14orf37	4
C14orf38	1
C14orf43	236
C14orf45	79
C14orf49	1
C14orf50	10
C14orf55	5
C14orf79	188
C14orf80	2487
C14orf82	190
C14orf93	110
C15orf17	550
C15orf23	917
C15orf24	5310
C15orf27	1
C15orf29	1390
C15orf33	8
C15orf34	14
C15orf37	64
C15orf38	201
C15orf39	538
C15orf40	1274
C15orf41	167
C15orf42	355
C15orf44	730
C15orf48	444
C15orf5	20
C15orf52	89
C15orf57	294
C15orf58	63
C15orf60	2
C15orf61	1955
C15orf62	1
C15orf63	45
C16orf13	7906
C16orf42	3277
C16orf45	1184
C16orf46	55
C16orf48	328
C16orf5	190
C16orf52	181
C16orf53	3773
C16orf55	623
C16orf57	2598
C16orf58	469
C16orf59	1406
C16orf61	2713
C16orf62	646
C16orf7	39
C16orf70	335
C16orf71	2
C16orf72	391
C16orf73	90
C16orf74	926
C16orf79	41
C16orf80	1560
C16orf86	3
C16orf87	512
C16orf88	4525
C16orf89	2
C16orf91	493
C16orf93	229
C16orf95	394
C17orf100	77
C17orf101	926
C17orf103	25
C17orf104	372
C17orf107	6
C17orf108	97
C17orf109	23
C17orf110	787
C17orf28	182
C17orf39	495
C17orf42	688
C17orf47	1
C17orf48	343
C17orf49	609
C17orf50	36
C17orf51	388
C17orf53	268
C17orf56	393
C17orf57	40
C17orf58	801
C17orf59	461
C17orf61	6618
C17orf62	2486
C17orf63	366
C17orf64	3
C17orf65	272
C17orf66	32
C17orf67	13
