UID	gene_id	DNA_1	RNA_1	DNA_2	RNA_2	DNA_3	RNA_3
HGLibA_08231	CD109	21935	16568	66292	78312	50770	52871
HGLibB_08223	CD109	40200	33931	45016	45889	47666	38140
HGLibB_08224	CD109	27622	21562	59545	59281	19822	19859
HGLibA_08476	CD9	65159	59446	161822	177692	141352	126552
HGLibA_08477	CD9	5926	6802	27985	37914	14210	18108
HGLibA_08478	CD9	19610	17416	34723	37261	39281	46918
HGLibA_08975	CECR1	213765	174712	117997	140109	126034	115900
HGLibB_08966	CECR1	123899	109499	97377	94185	73854	75675
HGLibB_08968	CECR1	2950	3651	43858	40864	25142	20816
HGLibA_09623	CHST13	155021	77845	100189	64735	123761	100826
HGLibB_09612	CHST13	369733	236742	193438	144892	172306	140779
HGLibB_09613	CHST13	185717	159969	119184	128494	101914	104138
HGLibA_09795	CLASP2	320037	294517	213112	254473	184137	192736
HGLibA_09796	CLASP2	115946	94305	164102	177275	103712	106183
HGLibB_09786	CLASP2	64425	45869	92810	95621	66419	66384
HGLibA_10478	COG4	33386	15795	32358	20487	28177	16889
HGLibB_10467	COG4	41078	24369	62305	45733	33973	22770
HGLibB_10468	COG4	72761	61817	102836	109806	54172	50248
HGLibA_10496	COL10A1	44255	36528	65068	73904	85735	96230
HGLibB_10485	COL10A1	49374	39885	43861	45317	28327	27064
HGLibB_10487	COL10A1	194840	158142	160727	166085	139721	125222
HGLibA_10664	COMMD4	169384	151039	109825	124125	137232	141581
HGLibA_10665	COMMD4	248071	251408	151432	161391	135364	145366
HGLibB_10654	COMMD4	76760	68512	68215	92707	55007	68860
HGLibA_11401	CSNK2A1	52811	43742	86523	92730	52634	51788
HGLibA_11402	CSNK2A1	38507	32217	70003	70090	46847	47510
HGLibA_11403	CSNK2A1	27051	20581	30517	35746	19302	18421
HGLibB_11560	CTAGE4	18084	11416	62181	69724	43707	42533
HGLibB_11561	CTAGE4	17417	19070	36313	46400	15895	17933
HGLibB_11562	CTAGE4	57288	60077	25852	31707	17209	21790
HGLibA_12150	CYP39A1	23053	21654	111656	112770	61543	61726
HGLibA_12151	CYP39A1	27776	23615	36764	38545	29898	34038
HGLibB_12137	CYP39A1	86461	56893	72200	68891	71233	58917
HGLibA_12186	CYP4F2	304517	250717	108972	116303	116174	113248
HGLibA_12188	CYP4F2	104207	82926	71841	73142	82455	86307
HGLibB_12174	CYP4F2	150994	56311	130529	62207	140067	64492
HGLibA_12483	DCDC2	5883	5649	80806	76931	22402	23592
HGLibA_12485	DCDC2	162263	139949	83598	84903	81043	74418
HGLibB_12469	DCDC2	30439	26692	65896	78796	54916	57657
HGLibA_13103	DHFR	40752	35968	36225	38353	19635	19877
HGLibA_13104	DHFR	70039	62284	46311	52724	50026	47282
HGLibB_13084	DHFR	18635	12603	51103	48287	33837	32350
HGLibA_13261	DIRAS3	70620	70122	68708	81837	79307	93449
HGLibB_13243	DIRAS3	92408	58837	101781	79985	82766	66404
HGLibB_13245	DIRAS3	76653	64222	92294	103455	41506	41574
HGLibA_13730	DOCK1	186007	158411	135702	143491	159522	179377
HGLibA_13732	DOCK1	23743	17808	65489	57619	34486	30180
HGLibB_13711	DOCK1	287	373	70129	71081	7986	8179
HGLibA_13916	DPY30	56995	60767	63743	88201	66874	80727
HGLibA_13918	DPY30	66572	88067	46238	70573	56265	87946
HGLibB_13894	DPY30	48463	100679	48256	122796	13510	34095
HGLibA_14773	EIF3D	29015	25740	24984	24921	26697	19415
HGLibA_14774	EIF3D	759	822	3561	1751	1907	1130
HGLibB_14752	EIF3D	63985	46871	74432	70290	50161	46533
HGLibA_15503	ERMARD	81796	63902	78095	81903	42393	38573
HGLibA_15504	ERMARD	92419	89671	79443	93398	43190	41143
HGLibB_15482	ERMARD	4407	4518	25353	26274	17949	17690
HGLibB_15761	EXOSC5	118613	111255	123932	134164	143392	159416
HGLibB_15762	EXOSC5	28846	30732	28541	41096	38426	50228
HGLibB_15763	EXOSC5	26165	26374	27167	38338	26762	32067
HGLibA_15789	EXOSC7	57210	62464	50038	72585	19271	26933
HGLibA_15790	EXOSC7	91450	95836	41070	48454	32339	40210
HGLibB_15767	EXOSC7	12774	14073	4767	7245	9336	10864
HGLibA_15957	FAHD2A	35328	29974	93665	104885	54503	53816
HGLibB_15935	FAHD2A	66042	62178	60347	76438	52420	52524
HGLibB_15936	FAHD2A	76331	67967	101314	107502	89400	93162
HGLibA_16359	FAM192A	149161	102183	67647	66391	83861	77141
HGLibA_16360	FAM192A	218967	200933	66673	75737	100936	110301
HGLibB_16338	FAM192A	12503	9232	58941	57991	49146	43945
HGLibA_16660	FAM63A	61979	61912	33576	42592	37943	50290
HGLibB_16636	FAM63A	146433	125838	129826	136155	142674	145590
HGLibB_16637	FAM63A	11867	11022	45100	62732	25364	30932
HGLibA_16961	FBN3	35066	27841	56610	53896	57119	50235
HGLibB_16937	FBN3	140575	117788	79926	84961	124846	116448
HGLibB_16939	FBN3	233383	206956	128430	155365	182324	180671
HGLibA_17351	FGD4	42461	28462	56693	58683	21166	19365
HGLibA_17352	FGD4	20948	14289	100689	102743	56360	55087
HGLibB_17328	FGD4	21492	17955	57903	55491	46063	40277
HGLibA_17416	FGF7	51234	48404	83666	91330	72378	77606
HGLibB_17393	FGF7	3222	3192	56056	64804	32846	30215
HGLibB_17395	FGF7	39310	33670	117085	129650	59224	56778
HGLibA_18082	FSD2	37286	25559	67327	80523	50809	49418
HGLibB_18059	FSD2	18219	16032	54618	54585	27016	26949
HGLibB_18060	FSD2	51313	38336	87532	77835	33047	31848
HGLibA_18964	GFRA1	124891	107169	79910	92239	133212	138878
HGLibB_18940	GFRA1	44856	41517	179019	199402	99097	100564
HGLibB_18941	GFRA1	37193	29328	90707	96444	47235	39282
HGLibA_19075	GIMAP2	21071	17595	47486	55041	68113	67627
HGLibA_19076	GIMAP2	5	99	44656	39870	13626	10339
HGLibB_19050	GIMAP2	126471	111951	94557	104536	87807	95064
HGLibA_19242	GLE1	16776	9152	44403	31220	39946	24187
HGLibB_19216	GLE1	6155	3858	58374	46410	26054	20220
HGLibB_19217	GLE1	5986	4312	13417	11853	12896	8407
HGLibA_19492	GNB2L1	44110	16165	21689	10439	29495	9396
HGLibA_19494	GNB2L1	11833	5416	17893	10928	17508	10101
HGLibB_19466	GNB2L1	88391	59297	55977	55741	50388	38255
HGLibA_19566	GNPDA1	71017	58448	61238	60061	105799	96814
HGLibB_19537	GNPDA1	36903	30124	54845	57839	66143	65163
HGLibB_19539	GNPDA1	9909	8607	64536	68247	56397	56916
HGLibA_19570	GNPNAT1	83938	68440	86705	94386	62583	62146
HGLibA_19572	GNPNAT1	36227	36026	46070	49277	53392	55948
HGLibB_19543	GNPNAT1	35608	24138	80436	74113	49427	43335
HGLibA_19588	GNS	41504	31521	94182	89492	52541	48639
HGLibA_19589	GNS	115551	94125	78184	87099	60110	65592
HGLibB_19563	GNS	29286	20805	45183	40782	35939	29792
HGLibA_19650	GOLGB1	71398	57107	94543	97053	77961	81163
HGLibB_19620	GOLGB1	32007	24269	57215	46149	54049	43419
HGLibB_19621	GOLGB1	53244	45512	53830	56123	59453	53259
HGLibA_19830	GPN3	9060	5043	16349	9953	11182	6373
HGLibA_19831	GPN3	283465	232188	132588	131394	141731	128285
HGLibB_19804	GPN3	20712	11274	31141	21410	25696	16290
HGLibA_20376	GRPR	135509	111650	106346	112948	81654	81470
HGLibB_20348	GRPR	130969	98696	163968	169903	125265	121922
HGLibB_20350	GRPR	107425	90120	74337	73498	60434	59271
HGLibA_20408	GSDMB	16593	14935	77000	78387	19425	20524
HGLibB_20379	GSDMB	35003	35337	27531	30174	35539	41599
HGLibB_20380	GSDMB	108768	90969	132960	137740	190947	181672
HGLibA_20605	GTPBP2	44033	32384	39029	39050	45648	44534
HGLibB_20575	GTPBP2	158702	105438	107035	97221	129786	106014
HGLibB_20576	GTPBP2	17417	16874	64869	68293	22420	29240
HGLibA_20734	H1F0	245866	203494	127999	152179	196094	190224
HGLibB_20704	H1F0	31027	20625	57358	59539	49309	48331
HGLibB_20705	H1F0	81329	61573	97487	102142	78336	70729
HGLibA_21140	HEPACAM2	136883	117304	48359	69648	87457	86427
HGLibB_21112	HEPACAM2	43823	39195	28909	35716	57255	64021
HGLibB_21114	HEPACAM2	2257	1846	44319	49759	10383	12942
HGLibA_21455	HIST1H3A	152260	148850	143166	188599	159869	189204
HGLibA_21456	HIST1H3A	226459	183201	95966	102316	184870	185262
HGLibA_21457	HIST1H3A	96180	83923	67973	80682	89644	101749
HGLibA_21877	HOOK1	36567	23105	104562	84865	76596	67886
HGLibB_21846	HOOK1	19881	17649	75752	74231	55434	60470
HGLibB_21848	HOOK1	40271	31342	42907	40635	14355	14967
HGLibA_21881	HOOK3	81810	47781	81460	38906	52343	40459
HGLibA_21882	HOOK3	19540	12120	94400	82856	22293	17902
HGLibB_21854	HOOK3	36604	28150	23819	30084	19660	23345
HGLibA_22042	HPRT1	311827	279201	171743	186694	217153	236025
HGLibA_22044	HPRT1	16322	13079	35990	42865	39836	40164
HGLibB_22014	HPRT1	155307	132962	80705	78961	84164	88714
HGLibA_22084	HRC	85970	64626	49675	53810	44414	51516
HGLibB_22056	HRC	197796	190858	104004	119670	145148	155961
HGLibB_22057	HRC	185646	184190	129902	168797	152837	174299
HGLibA_23069	IL2	2345	1852	89349	85845	24560	22160
HGLibA_23070	IL2	34170	28424	58507	68505	50072	46856
HGLibB_23038	IL2	70336	57358	30515	30272	19767	24100
HGLibA_23099	IL23R	13395	12335	59016	54373	48969	56067
HGLibB_23069	IL23R	11434	11765	65670	72599	19739	19919
HGLibB_23070	IL23R	40965	33033	52214	54268	35387	34746
HGLibB_23140	IL4R	66774	56073	91361	98410	90597	91233
HGLibB_23141	IL4R	72560	53082	62465	74211	65898	68645
HGLibB_23142	IL4R	87353	77959	116354	125113	155960	157373
HGLibA_23228	IMMP1L	12254	12464	37983	38158	38986	38689
HGLibA_23229	IMMP1L	29154	23543	96218	92237	68870	60899
HGLibA_23230	IMMP1L	20628	14697	45496	45628	28190	26792
HGLibA_23586	IRF3	86223	57058	98798	81146	64710	49883
HGLibB_23552	IRF3	23230	21550	38443	44539	25697	25534
HGLibB_23554	IRF3	188004	134221	92494	81242	141890	116763
HGLibA_23631	IRX2	48192	43862	66835	77804	88446	90698
HGLibB_23598	IRX2	25399	22507	66092	70094	41518	41205
HGLibB_23599	IRX2	342229	333337	140768	169922	164157	169874
HGLibA_23682	ISOC1	14805	13505	59315	64729	49420	50168
HGLibB_23648	ISOC1	81999	64290	115929	121613	108536	106237
HGLibB_23649	ISOC1	104027	87199	124376	137035	148729	153203
HGLibA_24675	KIAA1009	27038	24123	49280	45940	15461	16132
HGLibA_24676	KIAA1009	5773	6246	20171	25140	43667	41589
HGLibB_24642	KIAA1009	52513	37874	82859	80587	89683	85341
HGLibA_24942	KIF4A	25540	25535	52406	60071	26232	22734
HGLibA_24944	KIF4A	3972	4381	25425	36518	16774	22080
HGLibB_24909	KIF4A	143055	127227	121718	126809	106106	103250
HGLibA_25176	KLHL3	162119	144685	119605	131286	128949	135323
HGLibB_25141	KLHL3	294	536	68850	64934	47136	43246
HGLibB_25142	KLHL3	54358	51708	68629	75909	131164	138200
HGLibA_25198	KLHL36	72947	81719	43237	66811	70343	87570
HGLibA_25199	KLHL36	190317	186094	101101	132012	72119	81161
HGLibB_25162	KLHL36	27484	42138	21999	18893	15580	8413
HGLibA_25288	KLRC2	201521	169760	153700	161408	166148	171450
HGLibA_25289	KLRC2	113284	97088	108402	114586	89790	89448
HGLibB_25252	KLRC2	101818	89775	96889	105567	88169	95516
HGLibA_25572	KRT86	4643	4854	35125	36761	26132	27893
HGLibA_25574	KRT86	108364	89273	58512	65432	62942	61580
HGLibB_25537	KRT86	7538	6115	40559	43591	23345	20337
HGLibA_25766	KRTAP4-5	14138	12985	56842	66082	37898	43374
HGLibA_25767	KRTAP4-5	69149	60870	84738	88925	63930	57980
HGLibB_25730	KRTAP4-5	81780	50530	112042	93666	141669	102805
HGLibA_26299	LENG8	36899	35922	40535	54801	18437	20548
HGLibA_26301	LENG8	70538	65487	44489	56328	51305	53588
HGLibB_26263	LENG8	36978	30809	45228	51606	48239	49294
HGLibA_26588	LINGO2	355142	314766	98692	113368	111769	109330
HGLibA_26589	LINGO2	78615	68851	84198	92176	116827	127044
HGLibB_26552	LINGO2	113358	88421	35701	31383	55568	49757
HGLibB_27015	LPAR2	58913	51200	108256	116487	93375	89665
HGLibB_27016	LPAR2	94922	92812	84485	96620	142718	153811
HGLibB_27017	LPAR2	4902	3809	56799	61136	21621	19617
HGLibB_27348	LRRC55	26965	22068	62425	65680	71589	68889
HGLibB_27349	LRRC55	26442	23894	49095	47321	49165	53827
HGLibB_27350	LRRC55	35786	33731	54607	67417	26769	26610
HGLibA_27550	LSM7	44707	31854	13873	12479	15967	13460
HGLibB_27511	LSM7	6307	3935	32391	25198	20407	16171
HGLibB_27512	LSM7	24399	18499	27279	32531	40396	34643
HGLibA_27614	LTN1	62357	44491	79530	88494	70511	66283
HGLibA_27615	LTN1	25303	19037	91013	85087	29010	27563
HGLibB_27573	LTN1	51160	40162	33373	36459	31215	26004
HGLibA_27619	LUC7L	62445	51693	101184	96084	104701	113246
HGLibA_27620	LUC7L	13648	13794	105212	98380	32441	32815
HGLibB_27581	LUC7L	45046	34496	116393	131003	75642	74193
HGLibA_27675	LY6H	49764	54585	22460	27264	36477	46064
HGLibB_27632	LY6H	60125	54640	48611	64303	43105	44986
HGLibB_27633	LY6H	280889	194071	151604	123860	173801	164332
HGLibA_28177	MAP3K19	13457	9798	54779	53470	56550	54093
HGLibA_28179	MAP3K19	78412	65293	87021	94787	74102	81751
HGLibB_28137	MAP3K19	88203	77201	136714	137773	134471	121104
HGLibA_28489	MBD5	52505	46117	51418	52988	35142	34876
HGLibA_28490	MBD5	46117	37076	68281	68863	29212	25875
HGLibB_28450	MBD5	56564	43975	61506	59573	24692	25336
HGLibA_28631	MCMBP	38499	30382	68312	64470	49232	53917
HGLibA_28632	MCMBP	45829	34919	69104	67583	86267	84263
HGLibB_28589	MCMBP	27455	18866	116630	110152	72700	58207
HGLibA_28741	MED12	118074	101219	111530	108153	109453	119940
HGLibB_28701	MED12	21792	20490	47595	65469	16616	23445
HGLibB_28702	MED12	151054	130900	72652	83826	53966	60283
HGLibA_28768	MED19	43950	39136	45188	50467	36145	39521
HGLibA_28769	MED19	114901	116651	79178	96763	90056	108020
HGLibA_28770	MED19	245689	234317	138626	149154	207210	216379
HGLibA_29053	MFAP5	129473	101508	58702	57879	34186	32121
HGLibA_29054	MFAP5	17033	15874	37362	39727	21207	21853
HGLibB_29012	MFAP5	54075	48832	101775	112543	68746	67462
HGLibA_29068	MFN1	96498	69485	57869	53100	41938	34952
HGLibA_29069	MFN1	25525	20567	67649	67824	55656	52169
HGLibB_29028	MFN1	17285	12798	40682	38921	29534	24610
HGLibA_29227	MICU3	21743	20316	87885	97320	70198	66465
HGLibA_29228	MICU3	22578	19866	65284	69397	58143	52223
